Algorithm A,Algorithm B
15.69179117,46.66401041
59.33671731,58.80624456
67.27175856,3.663279838
33.81455813,73.12539672
28.49244297,26.48102923
79.34692515,65.20930578
52.35496528,46.59375944
64.50283682,83.64640651
61.20850951,55.16568203
90.4953112,25.95729684
37.25601981,33.44271318
44.59240192,86.48456545
71.35943049,13.90478397
80.10283778,39.79124008
40.16590702,61.05681926
44.98174854,27.38305435
82.91446098,62.98446727
95.21138179,29.61915757
32.90741633,87.9803651
83.64355537,76.13294681
37.56025784,52.92486413
89.32882802,78.8434189
24.04898934,10.14815401
82.27090772,5.894799787
56.18067229,21.87229211
10.78645548,48.78100404
32.79027631,28.42296539
95.07854086,9.637845028
98.98104859,61.54866826
32.37352611,97.71862559
74.01531766,37.96368556
43.63685555,77.95676871
62.57437211,90.70673462
70.16938862,93.54731136
28.77028407,40.4470806
53.11847181,24.18351267
54.08989742,79.91595024
21.29174571,2.955531888
39.63803642,30.81611497
69.32797106,71.2568989
13.91863952,15.21044581
34.84896601,3.735076264
23.77503961,15.03220713
77.55831906,65.99720947
60.81127081,86.53653841
88.70832987,59.71631918
92.21964308,69.91064237
97.62705303,22.19983661
27.76900832,35.82881361
55.84702617,40.25069443
58.67124217,39.36667361
69.47700912,91.34512008
28.62129139,79.06669069
9.954190007,85.49389499
42.5618703,11.14782251
7.325691276,27.16171509
86.36030635,0.411707396
55.67272444,36.68245627
97.68652106,92.59264797
87.72367197,89.4476719
1.543082097,53.6318229
16.61271716,84.78964472
14.24771605,19.91639491
67.08361405,18.08886225
81.93602206,30.75467227
25.3996924,44.00421367
71.41921692,30.2325058
84.56239126,75.36847915
43.79603112,80.35774478
33.29511494,14.47770356
87.88947071,5.678917421
29.23782596,73.41929567
51.40336837,27.20082167
87.01262918,17.2369367
5.391248347,7.50159428
60.53083243,18.78251897
98.86009004,55.96915286
85.93755394,46.56353681
25.3712783,41.07337878
21.86473033,85.61218146
88.69251781,16.12042736
68.65854964,94.28562762
67.72567135,89.63415693
71.42597044,18.61137436
73.29872458,70.59872244
84.14745111,87.32466917
6.837191083,19.7019953
75.22915885,0.477924733
98.79013394,18.99855889
95.47896644,31.20889107
38.770779,30.96844489
75.38973675,7.85706141
48.49137221,94.26509645
23.74993471,54.67943833
18.44652981,33.59073743
84.96001717,32.08551384
80.41157756,75.88181498
11.43337669,35.69256747
39.90703691,99.65684938
66.46602701,42.9176949
